cliente,Razão Social,CNPJ,Data emissão,Vencimento líquido,Produto,Nº Nota Fiscal,Status Boleto,Valor Original (por produto),Montante de imposto,Juros,Multa,Valor Total (nota),Link  NFS-e,Link  Boleto,Qtde Transação
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-09-30 00:00:00,2024-10-18 00:00:00,Pagador,57092,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=181U.7173.2151.7790299-Q&numdoc=26669170000157,"",4949
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-09-30 00:00:00,2024-10-18 00:00:00,Velocity Check,57045,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=608T.6089.5546.1294699-D&numdoc=26669170000157,"",33166
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-09-30 00:00:00,2024-10-10 00:00:00,Pagador,77993,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=181Y.1834.3491.8561899-Q&numdoc=28581358000174,"",58
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-09-30 00:00:00,2024-10-08 00:00:00,Pagador,77292,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=689Q.0189.7917.9089099-E&numdoc=26669170000157,"",2
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-09-30 00:00:00,2024-10-08 00:00:00,Velocity Check,77234,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=172S.9383.9981.1413799-R&numdoc=26669170000157,"",17282
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-09-30 00:00:00,2024-10-08 00:00:00,Cartão Protegido,77695,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=175W.7897.7471.8349299-U&numdoc=28589883000136,"",11
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-09-30 00:00:00,2024-10-08 00:00:00,Pagador,77860,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=193Q.5931.4816.5212699-S&numdoc=28589883000136,"",67
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-08-29 00:00:00,2024-09-06 00:00:00,Pagador,75391,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=189R.6017.3825.7074299-Y&numdoc=26669170000157,"",16
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-08-29 00:00:00,2024-09-06 00:00:00,Velocity Check,75868,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=717T.3829.0349.2325999-M&numdoc=26669170000157,"",14550
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-08-29 00:00:00,2024-09-06 00:00:00,Cartão Protegido,75631,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=706T.8749.7944.0262399-L&numdoc=28589883000136,"",10
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-08-29 00:00:00,2024-09-06 00:00:00,Pagador,75754,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=212Q.5691.6818.1948199-R&numdoc=28589883000136,"",75
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-08-29 00:00:00,2024-09-06 00:00:00,Pagador,76177,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=426Q.4274.5315.1608999-V&numdoc=28581358000174,"",87
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-07-31 00:00:00,2024-08-08 00:00:00,Pagador,74510,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=869Q.1300.1417.7335799-Y&numdoc=28589883000136,"",78
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-07-31 00:00:00,2024-08-08 00:00:00,Pagador,74668,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=100W.6914.8675.4109399-Z&numdoc=28581358000174,"",61
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-07-30 00:00:00,2024-08-07 00:00:00,Pagador,74188,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=126Z.9495.6402.0120599-V&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-07-30 00:00:00,2024-08-07 00:00:00,Velocity Check,73626,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=104H.7661.8928.0112799-T&numdoc=26669170000157,"",14560
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-07-30 00:00:00,2024-08-07 00:00:00,Cartão Protegido,73868,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=102R.5626.3821.4373099-R&numdoc=28589883000136,"",12
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-07-19 00:00:00,2024-08-01 00:00:00,Pagador,73471,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=129Y.5887.6099.2785799-Y&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-06-27 00:00:00,2024-07-11 00:00:00,Velocity Check,72017,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=112I.4058.9839.5009899-R&numdoc=26669170000157,"",15377
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-06-28 00:00:00,2024-07-11 00:00:00,Pagador,72362,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=119Q.9879.0912.3057599-Y&numdoc=26669170000157,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-06-28 00:00:00,2024-07-09 00:00:00,Pagador,72373,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=129W.4215.6172.7304899-Y&numdoc=28589883000136,"",74
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-06-28 00:00:00,2024-07-09 00:00:00,Pagador,72382,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=537Q.2829.5716.3936099-W&numdoc=28581358000174,"",24
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-06-27 00:00:00,2024-07-05 00:00:00,Cartão Protegido,72202,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=211Z.0386.9406.3430999-Q&numdoc=28589883000136,"",8
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-05-28 00:00:00,2024-06-07 00:00:00,Pagador,70729,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=234S.7563.5138.7380899-T&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-05-28 00:00:00,2024-06-07 00:00:00,Velocity Check,70713,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=579W.7326.9977.2768299-Y&numdoc=26669170000157,"",15705
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-05-28 00:00:00,2024-06-05 00:00:00,Cartão Protegido,70167,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204Q.6815.5010.3045599-T&numdoc=28589883000136,"",7
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-05-28 00:00:00,2024-06-05 00:00:00,Pagador,71023,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182T.5907.8144.7266299-R&numdoc=28589883000136,"",73
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-05-28 00:00:00,2024-06-05 00:00:00,Pagador,71224,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=835R.0060.9221.1330899-U&numdoc=28581358000174,"",40
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-03-27 00:00:00,2024-05-28 00:00:00,Velocity Check,67120,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=121M.6832.3871.3549599-Q&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-04-12 00:00:00,2024-05-28 00:00:00,AntiFraude,68251,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=324Q.8502.8915.9096799-T&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-04-12 00:00:00,2024-05-28 00:00:00,Emailage,68252,Compensando,324.05,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=149A.1866.8357.4063299-Y&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-04-29 00:00:00,2024-05-27 00:00:00,Velocity Check,69283,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=132X.8336.2282.0880399-R&numdoc=24808490000115,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-04-29 00:00:00,2024-05-07 00:00:00,Velocity Check,68962,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=587G.2381.0615.9427499-W&numdoc=26669170000157,"",18455
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-04-29 00:00:00,2024-05-07 00:00:00,Pagador,69328,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=197X.9089.7088.0119199-W&numdoc=28589883000136,"",70
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-04-29 00:00:00,2024-05-07 00:00:00,Pagador,69611,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=209R.4671.6124.2383299-Y&numdoc=28581358000174,"",72
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-03-27 00:00:00,2024-04-04 00:00:00,Pagador,67227,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=186V.3220.7268.1695099-V&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-03-27 00:00:00,2024-04-04 00:00:00,Velocity Check,67121,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=756Q.0223.0411.7192799-L&numdoc=26669170000157,"",19212
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-03-27 00:00:00,2024-04-04 00:00:00,Cartão Protegido,66769,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=611Y.8274.7898.2491199-Q&numdoc=28589883000136,"",11
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-03-27 00:00:00,2024-04-04 00:00:00,Pagador,67228,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=132T.2539.1148.6420999-R&numdoc=28589883000136,"",57
