cliente,Razão Social,CNPJ,Data emissão,Vencimento líquido,Produto,Nº Nota Fiscal,Status Boleto,Valor Original (por produto),Montante de imposto,Juros,Multa,Valor Total (nota),Link  NFS-e,Link  Boleto,Qtde Transação
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-11-23 00:00:00,2023-12-08 00:00:00,AntiFraude,59725,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=558G.8566.7613.7402499-X&numdoc=24808490000115,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-11-29 00:00:00,2023-12-07 00:00:00,Pagador,60528,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=456Y.6601.3394.6136199-V&numdoc=26669170000157,"",16
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-11-29 00:00:00,2023-12-07 00:00:00,Velocity Check,59889,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=660X.5883.9081.6358699-Z&numdoc=26669170000157,"",20999
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-11-29 00:00:00,2023-12-07 00:00:00,Cartão Protegido,60051,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=475Q.9846.6311.8005299-U&numdoc=28589883000136,"",9
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-11-29 00:00:00,2023-12-07 00:00:00,Pagador,60841,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=550G.2041.8118.7305499-Z&numdoc=28589883000136,"",47
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-10-31 00:00:00,2023-11-17 00:00:00,Velocity Check,58471,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=199O.1788.8396.3949099-Y&numdoc=24808490000115,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-11-03 00:00:00,2023-11-14 00:00:00,Cartão Protegido,59313,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=503Q.9605.7617.5398199-S&numdoc=28589883000136,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-10-31 00:00:00,2023-11-10 00:00:00,Pagador,58926,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204E.4316.3991.7743399-T&numdoc=28589883000136,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-10-31 00:00:00,2023-11-08 00:00:00,Pagador,58702,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=196E.4793.7194.2146899-V&numdoc=26669170000157,"",588
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-10-31 00:00:00,2023-11-08 00:00:00,Velocity Check,58486,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=109Y.1682.6892.7665799-Y&numdoc=26669170000157,"",15689
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-10-11 00:00:00,2023-10-26 00:00:00,AntiFraude,58052,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=389X.5038.2187.4135199-Y&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-09-30 00:00:00,2023-10-17 00:00:00,Velocity Check,57504,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=131T.1252.5848.4530499-Q&numdoc=24808490000115,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-09-30 00:00:00,2023-10-10 00:00:00,Cartão Protegido,57407,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=111X.8244.9481.9512699-Q&numdoc=28589883000136,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-09-30 00:00:00,2023-10-10 00:00:00,Pagador,57553,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=178R.3704.2628.5289599-X&numdoc=28589883000136,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-09-15 00:00:00,2023-10-03 00:00:00,AntiFraude,56472,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=139Z.3307.2503.3202199-Y&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-08-29 00:00:00,2023-09-13 00:00:00,Velocity Check,55025,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=463Q.2618.6913.3307599-S&numdoc=24808490000115,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-08-29 00:00:00,2023-09-08 00:00:00,Cartão Protegido,55004,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=824Q.0232.0517.8646399-T&numdoc=28589883000136,"",7
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-08-29 00:00:00,2023-09-08 00:00:00,Pagador,55052,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=256Q.2766.1415.0190499-V&numdoc=28589883000136,"",58
3331,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-08-29 00:00:00,2023-09-06 00:00:00,Pagador,54872,Pendente,207.76,0,13425,749.97,51673.71,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=957V.6496.9161.9680599-R&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/c7333d99-0d5f-4fe2-a509-1a4126eb245d,735
3331,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-08-29 00:00:00,2023-09-06 00:00:00,Pagador,54872,Pendente,37290.98,0,13425,749.97,51673.71,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=957V.6496.9161.9680599-R&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/c7333d99-0d5f-4fe2-a509-1a4126eb245d,131932
3331,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-08-29 00:00:00,2023-09-06 00:00:00,Velocity Check,54865,Pendente,14714.32,0,5262.6,294.29,20271.21,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=150W.5863.5771.6442499-Z&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/1504fbbf-f4b3-4b13-93a9-bc76b47d0abc,192267
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-08-15 00:00:00,2023-08-31 00:00:00,AntiFraude,54769,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=220S.1663.7630.9490399-Z&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-07-31 00:00:00,2023-08-16 00:00:00,Velocity Check,53818,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=214Y.2670.8691.5674499-T&numdoc=24808490000115,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-07-31 00:00:00,2023-08-09 00:00:00,Cartão Protegido,53828,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=207Z.6054.9101.5938899-W&numdoc=28589883000136,"",12
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-07-31 00:00:00,2023-08-09 00:00:00,Pagador,54380,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=175W.5403.0521.8040599-U&numdoc=28589883000136,"",64
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-07-28 00:00:00,2023-08-08 00:00:00,Velocity Check,53317,Compensando,14314.44,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=141Z.6896.8108.2230699-Q&numdoc=26669170000157,"",187042
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-07-27 00:00:00,2023-08-07 00:00:00,Pagador,53169,Compensando,66.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=116U.3365.5551.7616499-V&numdoc=26669170000157,"",235
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-07-27 00:00:00,2023-08-07 00:00:00,Pagador,53169,Compensando,45228.45,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=116U.3365.5551.7616499-V&numdoc=26669170000157,"",160014
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-07-19 00:00:00,2023-08-04 00:00:00,AntiFraude,52953,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=976W.6155.7276.7879199-Q&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-06-21 00:00:00,2023-07-07 00:00:00,AntiFraude,51275,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=179S.6845.3132.6578099-Y&numdoc=24808490000115,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-06-28 00:00:00,2023-07-07 00:00:00,Cartão Protegido,51347,Compensando,39.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=193Z.6134.6851.2292699-S&numdoc=28589883000136,"",9
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-06-28 00:00:00,2023-07-07 00:00:00,Pagador,51359,Compensando,97.26,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=237R.2398.7376.2487699-W&numdoc=28589883000136,"",130
3331,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-06-28 00:00:00,2023-07-06 00:00:00,Pagador,51356,Pendente,27.98,0,22396.5,1185.27,82845.07,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=318Q.9587.3711.4838899-X&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/6c4da71f-83a5-4e7a-a0e6-7711b8da70c8,99
3331,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-06-28 00:00:00,2023-07-06 00:00:00,Pagador,51356,Pendente,59235.32,0,22396.5,1185.27,82845.07,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=318Q.9587.3711.4838899-X&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/6c4da71f-83a5-4e7a-a0e6-7711b8da70c8,209569
3331,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-06-28 00:00:00,2023-07-06 00:00:00,Velocity Check,51351,Pendente,3826.53,0,1451.52,76.53,5354.58,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=139Y.3820.4044.7218899-Y&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/94fd8490-6ff3-4004-9998-c99c2b7c0bbd,1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-05-22 00:00:00,2023-06-07 00:00:00,AntiFraude,49347,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=311Q.8832.3418.7025499-Q&numdoc=24808490000115,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-05-09 00:00:00,2023-05-18 00:00:00,Velocity Check,49137,Compensando,11270.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=152I.9248.5231.4482299-R&numdoc=26669170000157,"",1
