Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-11-26 00:00:00,2025-12-11 00:00:00,101731,Pagador,,"R$ 100,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=968T.3254.2549.5218399-S&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-10-29 00:00:00,2025-11-13 00:00:00,99609,Velocity Check,,"R$ 4102,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=108I.0791.6931.7150399-X&numdoc=26669170000157,"",Compensando,              4.953
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-10-29 00:00:00,2025-11-13 00:00:00,99692,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=153S.6216.1031.5694499-S&numdoc=26669170000157,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-10-29 00:00:00,2025-11-13 00:00:00,99507,3DS 2.0,,"R$ 132,65",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=525R.6299.0821.4159499-U&numdoc=24184468000141,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-10-29 00:00:00,2025-11-13 00:00:00,99927,Pagador,,"R$ 3388,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=907Q.8039.7617.6847999-R&numdoc=24184468000141,"",Compensando,              4.884
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-10-29 00:00:00,2025-11-13 00:00:00,99542,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=664R.3757.0424.0315299-T&numdoc=28589883000136,"",Compensando,                 13
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-10-29 00:00:00,2025-11-13 00:00:00,99778,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=402Q.2535.9913.3255799-R&numdoc=28589883000136,"",Compensando,                 73
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-10-29 00:00:00,2025-11-13 00:00:00,99835,Pagador,,"R$ 100,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=172L.5245.0161.1883599-R&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-09-29 00:00:00,2025-10-14 00:00:00,97694,Velocity Check,,"R$ 4102,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=210Y.3357.2099.0054299-Z&numdoc=26669170000157,"",Compensando,              4.979
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-09-29 00:00:00,2025-10-14 00:00:00,97823,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=290T.8945.2891.5507099-Z&numdoc=26669170000157,"",Compensando,                  1
