Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-09-15 00:00:00,2023-09-30 00:00:00,56472,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=139Z.3307.2503.3202199-Y&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-08-29 00:00:00,2023-09-13 00:00:00,55025,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=463Q.2618.6913.3307599-S&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-08-29 00:00:00,2023-09-06 00:00:00,54865,Velocity Check,,"R$ 14714,32","R$ 0,00","R$ 4395,30","R$ 294,29","R$ 19403,91",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=150W.5863.5771.6442499-Z&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/1504fbbf-f4b3-4b13-93a9-bc76b47d0abc,Pendente,            192.267
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-08-29 00:00:00,2023-09-06 00:00:00,54872,Pagador,,"R$ 207,76","R$ 0,00","R$ 11212,50","R$ 749,97","R$ 49461,21",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=957V.6496.9161.9680599-R&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/c7333d99-0d5f-4fe2-a509-1a4126eb245d,Pendente,                735
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-08-29 00:00:00,2023-09-06 00:00:00,54872,Pagador,,"R$ 37290,98","R$ 0,00","R$ 11212,50","R$ 749,97","R$ 49461,21",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=957V.6496.9161.9680599-R&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/c7333d99-0d5f-4fe2-a509-1a4126eb245d,Pendente,            131.932
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-08-29 00:00:00,2023-09-06 00:00:00,55004,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=824Q.0232.0517.8646399-T&numdoc=28589883000136,"",Compensando,                  7
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-08-29 00:00:00,2023-09-06 00:00:00,55052,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=256Q.2766.1415.0190499-V&numdoc=28589883000136,"",Compensando,                 58
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-08-15 00:00:00,2023-08-30 00:00:00,54769,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=220S.1663.7630.9490399-Z&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-07-31 00:00:00,2023-08-15 00:00:00,53818,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=214Y.2670.8691.5674499-T&numdoc=24808490000115,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-07-31 00:00:00,2023-08-08 00:00:00,53828,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=207Z.6054.9101.5938899-W&numdoc=28589883000136,"",Compensando,                 12
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-07-31 00:00:00,2023-08-08 00:00:00,54380,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=175W.5403.0521.8040599-U&numdoc=28589883000136,"",Compensando,                 64
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-07-28 00:00:00,2023-08-05 00:00:00,53317,Velocity Check,,"R$ 14314,44",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=141Z.6896.8108.2230699-Q&numdoc=26669170000157,"",Compensando,            187.042
